,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,n_sets delta w/ hydra_v6b_python,signal_score delta w/ hydra_v6b_python,n_sets delta w/ hydra_v6_fastridefix,signal_score delta w/ hydra_v6_fastridefix
67,clean both arms hang,List A,1058,16,37.58%,12.50%,43.75%,0,2.125,88.22%,149,91.40%,-1.00,-0.25%,-4.00,-0.17%
68,clean both arms squat,List B,1059,13,95.24%,7.69%,15.38%,0,7,88.77%,97,95.33%,0.00,14.48%,#N/A,#N/A
69,clean single arm,List B,1061,16,169.32%,0.00%,0.00%,0,9.0625,96.62%,90,93.95%,9.00,0.84%,#N/A,#N/A
70,clean single arm alternating,List A,1060,12,40.70%,8.33%,25.00%,0,4,97.10%,124,95.21%,7.00,0.45%,-4.00,-0.62%
71,clean single arm hang,List B,1062,13,140.16%,0.00%,0.00%,0,7.30769231,94.27%,69,86.90%,7.00,-3.36%,#N/A,#N/A
72,clean single arm squat,List B,1063,19,214.26%,0.00%,5.26%,0,10.3157895,94.34%,98,85.13%,8.00,-0.93%,#N/A,#N/A
73,concentrated curl kneeling lunge,List A,1030,15,53.56%,33.33%,60.00%,0,2.66666667,97.85%,84,78.67%,-2.00,-0.57%,-3.00,-0.41%
74,cross body curl kneeling alternating with resting arm down,MVP,588,15,5.22%,60.00%,86.67%,1,0.4,98.98%,158,95.27%,-1.00,6.72%,-1.00,0.17%
75,cross body curl standing alternating with resting arm down,MVP,592,14,4.95%,57.14%,92.86%,1,0.5,96.93%,143,97.46%,-2.00,9.54%,-2.00,5.44%
76,cross body curl standing single arm with resting arm down,MVP,593,11,83.40%,9.09%,9.09%,0,7,96.29%,135,89.78%,0.00,-1.78%,1.00,-6.61%
77,crunch arms above you,List A,1082,15,14.56%,33.33%,80.00%,0,0.86666667,98.77%,150,63.08%,0.00,26.56%,-3.00,3.22%
78,crunch arms by side,List B,1080,14,6.38%,57.14%,92.86%,1,-0.0714286,99.09%,140,61.16%,0.00,26.89%,#N/A,#N/A
79,crunch arms overhead,List A,1081,14,6.17%,50.00%,92.86%,1,0.14285714,97.81%,136,71.98%,0.00,26.68%,-4.00,7.14%
80,crunch hands on head,MVP-X,1078,15,9.61%,66.67%,80.00%,1,0.86666667,99.36%,150,56.94%,1.00,15.71%,#N/A,#N/A
81,crunch table top,List A,1083,14,4.77%,64.29%,85.71%,1,-0.2142857,100.00%,144,33.20%,0.00,9.48%,-4.00,5.28%
82,dead bug arms and legs together,MVP-X,1302,12,14.05%,66.67%,83.33%,0,0.91666667,98.29%,109,92.59%,0.00,10.97%,#N/A,#N/A
83,dead bug leg march,MVP-X,1307,10,59.52%,0.00%,30.00%,0,5.2,96.61%,105,53.99%,-6.00,18.77%,#N/A,#N/A
84,dead bug legs only together,MVP-X,1309,16,5.90%,56.25%,87.50%,1,0.5625,98.76%,159,83.49%,0.00,15.43%,#N/A,#N/A
85,dead bug opposite arm and leg alternating,MVP-X,1303,12,50.31%,0.00%,33.33%,0,2.91666667,99.15%,105,81.27%,0.00,11.18%,#N/A,#N/A
86,dead bug single leg alternating,MVP-X,1308,10,9.54%,30.00%,90.00%,1,-0.3,98.11%,96,67.42%,-3.00,20.72%,#N/A,#N/A
87,dead bug single side opposite arm and leg,MVP-X,1310,17,47.68%,35.29%,58.82%,0,3.29411765,99.31%,200,81.71%,0.00,17.67%,#N/A,#N/A
88,deadlift arms by side,MVP,671,11,6.97%,63.64%,90.91%,1,-0.2727273,91.74%,103,85.36%,-5.00,-0.97%,-4.00,-4.41%
89,deadlift arms straight out,MVP,672,14,13.97%,64.29%,78.57%,0,1.28571429,98.14%,129,96.76%,-3.00,0.86%,-1.00,2.44%
