,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ supermodel_v5_hydra,n_sets delta w/ supermodel_v5_hydra,is_FA delta w/ supermodel_v5_hydra
88,front raise standing alternating with resting arm up,List A,728,12,13.33%,25.00%,83.33%,0,0.67,98.80%,121,91.80%,0.83%,0.00,-0.11%
89,front raise standing both arms,MVP,729,15,1.33%,86.67%,100.00%,1,-0.13,97.29%,142,99.20%,0.00%,0.00,0.29%
90,front raise standing single arm with resting arm down,MVP,730,11,9.55%,63.64%,81.82%,1,-1.73,94.74%,209,96.21%,-0.45%,0.00,4.74%
91,front raise standing single arm with resting arm up,List A,727,12,23.66%,25.00%,58.33%,0,2.50,93.26%,173,96.67%,1.99%,0.00,11.97%
92,front to back lunge arms by side,List A,1164,6,11.44%,33.33%,83.33%,0,0.33,92.82%,66,87.79%,-1.39%,0.00,-0.52%
93,front to back lunge weights hanging,List A,1169,19,7.18%,47.37%,68.42%,1,-1.05,89.97%,319,93.68%,1.32%,0.00,0.74%
94,front to back lunge with rotation,List A,1163,11,23.76%,45.45%,72.73%,0,-0.09,91.98%,166,93.50%,1.82%,0.00,0.79%
95,hand release pushup on knees,List A,304,16,3.73%,75.00%,93.75%,1,0.31,94.78%,125,95.04%,0.20%,0.00,0.43%
96,hand release pushup on knees arms extended,List A,1503,6,18.48%,50.00%,83.33%,0,-1.67,98.74%,66,6.58%,1.67%,0.00,0.00%
97,hand release pushup on toes,List A,594,13,3.08%,84.62%,100.00%,1,0.15,91.26%,66,92.04%,0.00%,0.00,0.37%
98,hand release pushup on toes arms extended,List A,1502,5,28.82%,40.00%,60.00%,0,-3.20,97.40%,54,9.32%,0.00%,0.00,-0.16%
99,hip bridge repping hands bent at 90,List A,599,20,0.91%,95.00%,95.00%,1,0.10,100.00%,209,84.08%,0.00%,0.00,0.00%
100,lateral lunge alternating single dumbbell,MVP,749,14,5.87%,50.00%,100.00%,1,0.07,88.45%,137,88.15%,1.21%,-1.00,1.16%
101,lateral lunge arms by side,MVP,740,19,5.39%,78.95%,94.74%,1,-0.42,83.37%,186,97.07%,0.27%,-1.00,0.95%
102,lateral lunge arms by side dumbbell,MVP,750,11,9.14%,54.55%,81.82%,1,-0.73,84.90%,104,97.93%,0.00%,0.00,-1.62%
103,lateral lunge arms straight out,MVP,737,7,3.02%,71.43%,100.00%,1,-0.29,81.35%,70,82.67%,0.00%,0.00,-1.58%
104,lateral lunge hands on head,MVP,738,6,0.00%,100.00%,100.00%,1,0.00,89.05%,59,77.33%,0.00%,0.00,-0.82%
105,lateral lunge hands on hips,MVP,739,12,12.38%,75.00%,83.33%,0,0.25,88.33%,111,95.49%,0.93%,0.00,-0.18%
106,lateral lunge left,MVP,319,8,5.81%,50.00%,100.00%,1,-0.50,87.32%,62,83.77%,1.79%,0.00,-0.26%
